user,date,rawContent,user_location,verified,followers,created,named_entities,links,hashtags,mentions
"{'username': 'indiaforums', 'id': 16199936, 'displayname': 'India Forums', 'rawDescription': 'Indian Entertainment site that scoops out the latest news, gossips, interviews, videos, events and more of Telly World and Bollywood.', 'renderedDescription': 'Indian Entertainment site that scoops out the latest news, gossips, interviews, videos, events and more of Telly World and Bollywood.', 'descriptionLinks': None, 'verified': True, 'created': datetime.datetime(2008, 9, 9, 9, 15, 42, tzinfo=datetime.timezone.utc), 'followersCount': 259175, 'friendsCount': 934, 'statusesCount': 115582, 'favouritesCount': 4153, 'listedCount': 193, 'mediaCount': 41194, 'location': 'India', 'protected': False, 'link': {'text': 'indiaforums.com', 'url': 'http://www.indiaforums.com', 'tcourl': 'https://t.co/PAXjUJEkh9', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1125391368585506816/3y2Ok7Qs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/16199936/1557149169', 'label': None}",2022-12-27 12:12:06+00:00,laalsinghchaddha #brahmastra: 5 film 2022 faced 'boycott' trend release #boycottfilms,India,True,259175,2008-09-09 09:15:42+00:00,52022,https://t.co/0hKr1LQvwf,"#laalsinghchaddha,#brahmastra:,#boycott',#boycottfilms",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 12:06:29+00:00,wonder unko pta bhi hoga fd kya cyclone aagya h &ampagr pta h change track showing everything dream doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"💀
&ampAgrYRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'ItsMeShipra_', 'id': 1333327006788775936, 'displayname': 'Quinnie Riz👑❤️', 'rawDescription': 'I listen my heart 💓', 'renderedDescription': 'I listen my heart 💓', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 11, 30, 8, 28, 38, tzinfo=datetime.timezone.utc), 'followersCount': 269, 'friendsCount': 6, 'statusesCount': 12694, 'favouritesCount': 5899, 'listedCount': 0, 'mediaCount': 94, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602615804071055360/OXnpt0Wq_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1333327006788775936/1670928206', 'label': None}",2022-12-27 12:06:05+00:00,_d_lostsoul_ @raimabhatia jaise tumlog personal hote ho waise v ek taraf boycott bollywood krte ho dusri salman ka show dekhte ho double standard way jagga ? ur mother? yes plz say namaste ur sweet mom jagga,India,False,269,2020-11-30 08:28:38+00:00,BollywoodSalmanNamasteJagga ✌,,,"@_d_lostsoul_,@RaimaBhatia"
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 12:05:02+00:00,"golden tymwhen used think abhira r special, wont separation everrr aaj hmara khud ka mjak bn gya h doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod",India,False,93,2021-11-19 14:11:20+00:00,"Abhirakhudmjak bnYRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 12:03:21+00:00,congratulation u much peaceful life doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"YRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 12:02:52+00:00,"yes guy plss, dont give hypenot even negative hype doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod",India,False,93,2021-11-19 14:11:20+00:00,"YRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 11:58:50+00:00,"haa nhi pata chla gadhe log isme bhi khush ho jaaye ki show trend krra h, mtlb best track h doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod",India,False,93,2021-11-19 14:11:20+00:00,"khush ho jaaye kiYRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'vkumarpaswan', 'id': 4424195353, 'displayname': 'vinod Paswan', 'rawDescription': 'indian Bollywood film & Tv serial Post Production Head', 'renderedDescription': 'indian Bollywood film & Tv serial Post Production Head', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 12, 1, 20, 52, 5, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 51, 'statusesCount': 65, 'favouritesCount': 168, 'listedCount': 0, 'mediaCount': 5, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1247187493847363584/DIsCWu4f_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4424195353/1586187643', 'label': None}",2022-12-27 11:56:47+00:00,boycott pathan,"Mumbai, India",False,6,2015-12-01 20:52:05+00:00,,,#boycott,
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 11:56:28+00:00,okkk whyyyy? doob maro dkp abhira yrkkh boycott yrkkh #abhira #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"YRKKHabhira #Harshali #HarshadChopda #,PranaliRathod",,"#abhira,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-27 11:55:53+00:00,"apni sugar baby @karish_mas k chakkar itna bhi mt gir jaao bhadwo, ki fd k log saccha pyaar, love first sight jse concept beleive krna chhod de doob maro dkp abhira yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod",India,False,93,2021-11-19 14:11:20+00:00,"Apnik chakkarki fd ksaccha pyaarkrna chhod de😭

DOOB MAROYRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",@Karish_maS
"{'username': 'Trupti20240863', 'id': 1531561839909543938, 'displayname': 'Shame on you DKP', 'rawDescription': ""Don't forget"", 'renderedDescription': ""Don't forget"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 5, 31, 9, 3, 5, tzinfo=datetime.timezone.utc), 'followersCount': 7, 'friendsCount': 7, 'statusesCount': 1786, 'favouritesCount': 633, 'listedCount': 0, 'mediaCount': 32, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",2022-12-27 11:55:42+00:00,thoda saram karlo thu thu uncle. sirf cake khana hai set pe aake. shame rs. shame gd rk rip dkp rip family show rip yrkkh boycott yrkkh abhira yrkkh abhira yrkkh #yrkkh #abhira,India,False,7,2022-05-31 09:03:05+00:00,ThodaSirfhaiGDyrkkh #,,"#yrkkh,#abhira",
