user,date,rawContent,user_location,verified,followers,created,named_entities,links,hashtags,mentions
"{'username': 'Faarmy07', 'id': 1570038086687498240, 'displayname': 'Faarmy', 'rawDescription': 'Two Biggest Weapon Of Any Country to Save OutSide & Inside Threat..❤️💪 🇮🇳 \nNo place here for #Bollywood fans & Fake Stars.\nHistory never lies..', 'renderedDescription': 'Two Biggest Weapon Of Any Country to Save OutSide & Inside Threat..❤️💪 🇮🇳 \nNo place here for #Bollywood fans & Fake Stars.\nHistory never lies..', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 9, 14, 13, 13, 53, tzinfo=datetime.timezone.utc), 'followersCount': 15, 'friendsCount': 19, 'statusesCount': 3649, 'favouritesCount': 2103, 'listedCount': 0, 'mediaCount': 206, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1591919954013876225/nAFmXNpa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1570038086687498240/1668379942', 'label': None}",2022-12-27 07:08:11+00:00,boycottbollywood #boycottpathaan #boycott,"Mumbai, India",False,15,2022-09-14 13:13:53+00:00,BoycottBollywoodBoycottPathaan,,"#boycottbollywood,#boycottpathaan,#boycott",
"{'username': 'Gopal551551', 'id': 917875446930325504, 'displayname': 'Gopalkrishna R Achari 🇮🇳', 'rawDescription': 'strong hindutvawadi hate pseudo seculars, commies, libtards, khangress', 'renderedDescription': 'strong hindutvawadi hate pseudo seculars, commies, libtards, khangress', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 10, 10, 22, 12, 14, tzinfo=datetime.timezone.utc), 'followersCount': 1148, 'friendsCount': 1828, 'statusesCount': 17932, 'favouritesCount': 12436, 'listedCount': 0, 'mediaCount': 19, 'location': 'Maharashtra ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1601626606879272960/I-dgN-YN_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-27 07:06:27+00:00,boycott bollywood,Maharashtra,False,1148,2017-10-10 22:12:14+00:00,Boycott Bollywood,,,
"{'username': 'sridharm1980', 'id': 1584404903203831811, 'displayname': 'Sridhar. M', 'rawDescription': 'Movie Director 🎥', 'renderedDescription': 'Movie Director 🎥', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 10, 24, 4, 42, 40, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 8, 'statusesCount': 1946, 'favouritesCount': 2568, 'listedCount': 1, 'mediaCount': 1797, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1589497862123319296/ZRNQX7Rs_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-27 07:05:35+00:00,costume cant boycott bollywood actress deepika padukone movieif orange color god color even iam wearing orange shirtif red god color even iam wearing thatiam mean wewe public people earth .hope everyone understand - sridharm,India,False,0,2022-10-24 04:42:40+00:00,Deepika Padukone,https://t.co/eXgyKkelgq,,
"{'username': 'Preet2300039', 'id': 1504741700929204225, 'displayname': 'Preet🇮🇳❤', 'rawDescription': 'Jai mahakaal🙏🏻🙏🏻', 'renderedDescription': 'Jai mahakaal🙏🏻🙏🏻', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 3, 18, 8, 49, 22, tzinfo=datetime.timezone.utc), 'followersCount': 3, 'friendsCount': 53, 'statusesCount': 2002, 'favouritesCount': 2379, 'listedCount': 0, 'mediaCount': 10, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1507752242597666821/uLo0i53Y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1504741700929204225/1648311077', 'label': None}",2022-12-27 07:03:32+00:00,itsmeghark boycott,India,False,3,2022-03-18 08:49:22+00:00,Boycott,,,@ItSMeghaRK
"{'username': 'DabidiD', 'id': 1144813737842339840, 'displayname': 'Dabidi Reddy Dibidi', 'rawDescription': 'PhD in pSycology from University of GK.\nStudying Fake intellectualism of ZombieWood celebrities (Bolly, Holly, Tolly, Kolly etc). FYI: Zombies are braindead', 'renderedDescription': 'PhD in pSycology from University of GK.\nStudying Fake intellectualism of ZombieWood celebrities (Bolly, Holly, Tolly, Kolly etc). FYI: Zombies are braindead', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 6, 29, 3, 43, 59, tzinfo=datetime.timezone.utc), 'followersCount': 14, 'friendsCount': 14, 'statusesCount': 4221, 'favouritesCount': 2775, 'listedCount': 0, 'mediaCount': 194, 'location': 'Hyderabad, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1239115390157860865/XI2Iit7x_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-27 07:03:01+00:00,"iajitdovalind main boycott nahi karta. sirf, film nahi dekta","Hyderabad, India",False,14,2019-06-29 03:43:59+00:00,Sirf,,,@IAjitDovalIND
"{'username': 'Pankaj300698', 'id': 1449219407914303492, 'displayname': 'Pankaj', 'rawDescription': 'नमस्ते सदा वत्सले मातृभूमि.🙏', 'renderedDescription': 'नमस्ते सदा वत्सले मातृभूमि.🙏', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 10, 16, 3, 56, 12, tzinfo=datetime.timezone.utc), 'followersCount': 232, 'friendsCount': 361, 'statusesCount': 8381, 'favouritesCount': 20829, 'listedCount': 2, 'mediaCount': 305, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1607631592792674311/GSil6WLR_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1449219407914303492/1665713413', 'label': None}",2022-12-27 07:01:23+00:00,tv9marathi boycott .,"Mumbai, India",False,232,2021-10-16 03:56:12+00:00,Boycott ल,,,@TV9Marathi
"{'username': 'Sudheer_Budala', 'id': 1603205906921324545, 'displayname': 'Sudheer Budala', 'rawDescription': 'An Interceptor with a caring Hand for Common people in and around the world.', 'renderedDescription': 'An Interceptor with a caring Hand for Common people in and around the world.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 12, 15, 1, 51, 15, tzinfo=datetime.timezone.utc), 'followersCount': 1, 'friendsCount': 19, 'statusesCount': 99, 'favouritesCount': 13, 'listedCount': 0, 'mediaCount': 9, 'location': 'Hyderabad', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1603206021031546880/_FLWhbQV_normal.png', 'profileBannerUrl': None, 'label': None}",2022-12-27 06:58:17+00:00,"iajitdovalind boycott phataan movie nothing happens actor movie irrespective roles, one get affected producer movie. think take call. producer movie #adityachopra banned movie",Hyderabad,False,1,2022-12-15 01:51:15+00:00,RolesMovie,,#adityachopra,@IAjitDovalIND
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 54, 'statusesCount': 11501, 'favouritesCount': 15640, 'listedCount': 0, 'mediaCount': 502, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-27 06:56:02+00:00,divorce ish halat mey seriously insanniyat bachi hai ki nahi tum saalo mey ki saram ke sath woh bhi bech aaye ho kahi? @starplus @kalraromesh dimri whole #yrkkh team question ish track sey society ko kya message dena cahte ho? boycott yrkkh #abhira #yrkkh,India,False,129,2021-09-22 08:29:36+00:00,"meyInsanniyathai ki nahimey ki saramkeWohbechho kahiYrkkhkoAbhiRa #,YRKKH",,"#yrkkh,#abhira,#yrkkh","@StarPlus,@KalraRomesh"
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 54, 'statusesCount': 11501, 'favouritesCount': 15640, 'listedCount': 0, 'mediaCount': 502, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-27 06:53:35+00:00,banao bhai banao ish dimri ke liye koi par profile banao sabka jina haram kiya hai isne isko kahi love life mey busy karo tab ye humko chain sey jine degi #yrkkh boycott yrkkh #abhira #yrkkh,India,False,129,2021-09-22 08:29:36+00:00,"BanaoBanaoDimri keparjina haram kiyahai isnekahi lovemeydegi 
,YRKKHAbhiRa #,YRKKH",https://t.co/7VKHkIfsIK,"#yrkkh,#abhira,#yrkkh",
"{'username': 'william_artner', 'id': 1015280145370841089, 'displayname': 'Artner', 'rawDescription': 'Gaming is my only hobby.', 'renderedDescription': 'Gaming is my only hobby.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 7, 6, 17, 3, 44, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 21, 'statusesCount': 504, 'favouritesCount': 850, 'listedCount': 0, 'mediaCount': 13, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1222457100900741122/IMYAW8BR_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1015280145370841089/1533098538', 'label': None}",2022-12-27 06:51:15+00:00,chess24com ever happen professional chess player boycott isreal actually forcefully occupied palestine free,India,False,0,2018-07-06 17:03:44+00:00,Palestine,,,@chess24com
