user,date,rawContent,user_location,verified,followers,created
"{'username': 'hemakini', 'id': 115321556, 'displayname': 'Hemalatha', 'rawDescription': 'Im a very proud & passionate INDIAN & BIGGEST NaMo Fan eternally!🙏\nLove everything +VE😀', 'renderedDescription': 'Im a very proud & passionate INDIAN & BIGGEST NaMo Fan eternally!🙏\nLove everything +VE😀', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 2, 18, 9, 6, 55, tzinfo=datetime.timezone.utc), 'followersCount': 3634, 'friendsCount': 651, 'statusesCount': 122551, 'favouritesCount': 200077, 'listedCount': 56, 'mediaCount': 6541, 'location': 'Bangalore', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1554489076434468864/aFQqd14Y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/115321556/1489806186', 'label': None}",2016-11-06 17:48:58+00:00,"@Abhi_D_ I've done by not spending money on them in theaters magazine or their products they endorse , well tv boycott not yet ,I respect u for that",Bangalore,False,3634,2010-02-18 09:06:55+00:00
"{'username': 'rajesh_karnawat', 'id': 81310907, 'displayname': 'Rajesh Jain', 'rawDescription': 'Engineer, Entrepreneur. Supporter of What-Is-Right. Immediate Past President, Rotary Club of Bhilai Greater. Travel, Music, Old Monk.', 'renderedDescription': 'Engineer, Entrepreneur. Supporter of What-Is-Right. Immediate Past President, Rotary Club of Bhilai Greater. Travel, Music, Old Monk.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 10, 10, 8, 19, 15, tzinfo=datetime.timezone.utc), 'followersCount': 281, 'friendsCount': 491, 'statusesCount': 20292, 'favouritesCount': 24297, 'listedCount': 17, 'mediaCount': 194, 'location': '', 'protected': False, 'link': {'text': 'strucrite.com', 'url': 'http://strucrite.com', 'tcourl': 'https://t.co/iks3WvclTF', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1555230016601853953/Wxxe62ng_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/81310907/1608109137', 'label': None}",2016-11-06 12:10:33+00:00,And this gang dad gone after Bronson who did promote a paan masala. Why not boycott?? https://t.co/nj06qe6duT,,False,281,2009-10-10 08:19:15+00:00
"{'username': 'MrMacherla', 'id': 288665057, 'displayname': 'Abhishek Macherla', 'rawDescription': ""I love films. I don't care who makes it or who stars in it. As long as a film makes me happy, l Pledge total respect and love for that film."", 'renderedDescription': ""I love films. I don't care who makes it or who stars in it. As long as a film makes me happy, l Pledge total respect and love for that film."", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 4, 27, 7, 47, 16, tzinfo=datetime.timezone.utc), 'followersCount': 201, 'friendsCount': 2259, 'statusesCount': 6194, 'favouritesCount': 524, 'listedCount': 0, 'mediaCount': 190, 'location': 'Bombay', 'protected': False, 'link': {'text': 'instagram.com/abhishekmacher…', 'url': 'http://instagram.com/abhishekmacherla', 'tcourl': 'https://t.co/Vz13pKFNPs', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1086840597699284992/tSYPYB-a_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/288665057/1521020770', 'label': None}",2016-11-06 10:14:17+00:00,#SaifAliKhan @emraanhashmi #vidhuvinodchopra this Ppl say that they don't watch hindi Films. Wtf ur doing in hindi Industry. #Boycott,Bombay,False,201,2011-04-27 07:47:16+00:00
"{'username': 'vedantt97', 'id': 1342437564, 'displayname': 'Vedant', 'rawDescription': ""You are nothing but a footnote in someone's story."", 'renderedDescription': ""You are nothing but a footnote in someone's story."", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 4, 10, 17, 33, 6, tzinfo=datetime.timezone.utc), 'followersCount': 206, 'friendsCount': 373, 'statusesCount': 71327, 'favouritesCount': 496, 'listedCount': 6, 'mediaCount': 711, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1537642608041725953/PQgs8f6m_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1342437564/1622327642', 'label': None}",2016-11-06 08:47:35+00:00,I don't understand how people can like Steve Smith's batting. Absolutely awful to watch. Same people must love cook and boycott too.,,False,206,2013-04-10 17:33:06+00:00
"{'username': 'nom_d_plum', 'id': 218727806, 'displayname': 'Plum Niyappa', 'rawDescription': 'இதுக்கு தான் மனுஷப்பயலுங்க கூட பேசறத நிறுத்தி நானூறு வருஷமாச்சு. I am here only for delivering மன் கி பாத். I have no connection to any group or individual here', 'renderedDescription': 'இதுக்கு தான் மனுஷப்பயலுங்க கூட பேசறத நிறுத்தி நானூறு வருஷமாச்சு. I am here only for delivering மன் கி பாத். I have no connection to any group or individual here', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 11, 23, 3, 16, 9, tzinfo=datetime.timezone.utc), 'followersCount': 1345, 'friendsCount': 238, 'statusesCount': 66946, 'favouritesCount': 2257, 'listedCount': 35, 'mediaCount': 625, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1385130759405539335/PRo3LGay_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/218727806/1571984828', 'label': None}",2016-11-06 06:32:42+00:00,@circusthuppaki @SrBachchan ji Pls boycott Kolkata film festival because china is enemy of modi..er..India,,False,1345,2010-11-23 03:16:09+00:00
"{'username': 'francisbuddh', 'id': 132850404, 'displayname': 'francis', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 4, 14, 10, 20, 36, tzinfo=datetime.timezone.utc), 'followersCount': 783, 'friendsCount': 851, 'statusesCount': 932, 'favouritesCount': 3422, 'listedCount': 2, 'mediaCount': 437, 'location': 'Dharavi, Mumbai', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/807653988321529856/fhRknXEl_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/132850404/1492542701', 'label': None}",2016-11-05 17:33:11+00:00,"On 9 Nov, the day of the govt ban on NDTV, let every democratic Indian boycott all TV in solidarity with NDTV. Do help share, spread !!! https://t.co/zOcWBB7nYD","Dharavi, Mumbai",False,783,2010-04-14 10:20:36+00:00
"{'username': 'SureshNakhua', 'id': 106513394, 'displayname': 'Suresh Nakhua (सुरेश नाखुआ) 🇮🇳', 'rawDescription': 'Official Spokesperson, @BJP4Mumbai | \nDigital Marketing Consultant | \nViews Personal | RT, Like ≠ Endorsement |', 'renderedDescription': 'Official Spokesperson, @BJP4Mumbai | \nDigital Marketing Consultant | \nViews Personal | RT, Like ≠ Endorsement |', 'descriptionLinks': None, 'verified': True, 'created': datetime.datetime(2010, 1, 19, 20, 23, 27, tzinfo=datetime.timezone.utc), 'followersCount': 139347, 'friendsCount': 7922, 'statusesCount': 398129, 'favouritesCount': 31132, 'listedCount': 375, 'mediaCount': 15910, 'location': 'India', 'protected': False, 'link': {'text': 'bjp.org', 'url': 'http://bjp.org', 'tcourl': 'https://t.co/RZdnnCXLgG', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1560512170470752256/w8PVNlDJ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/106513394/1603275944', 'label': None}",2016-11-05 15:55:10+00:00,"Super Slap by @ShivAroor on Award Boycott Nautanki  

https://t.co/ZefPryJcol https://t.co/4RrADXjiyp",India,True,139347,2010-01-19 20:23:27+00:00
"{'username': 'sampath_s', 'id': 16694043, 'displayname': 'sripath PhD', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2008, 10, 11, 7, 22, 10, tzinfo=datetime.timezone.utc), 'followersCount': 231, 'friendsCount': 336, 'statusesCount': 56588, 'favouritesCount': 23194, 'listedCount': 31, 'mediaCount': 66, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1553977546324180992/jnHwETgt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/16694043/1555513664', 'label': None}",2016-11-05 12:16:43+00:00,@RW_Bhakta @vedantam_sa @Si_lv_er @upma23 @RSSorg Kerala hindus must boycott services and products of these criminals.,,False,231,2008-10-11 07:22:10+00:00
"{'username': 'RGengage', 'id': 120410501, 'displayname': 'Raghunandan Gupta', 'rawDescription': 'Engineer by degree, comedian at heart. Building @ekacareHQ || ex-@goibibo #javascript #webDev #ProductLeader Learning Parenting with @AsthaD2610', 'renderedDescription': 'Engineer by degree, comedian at heart. Building @ekacareHQ || ex-@goibibo #javascript #webDev #ProductLeader Learning Parenting with @AsthaD2610', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 3, 6, 10, 29, 29, tzinfo=datetime.timezone.utc), 'followersCount': 600, 'friendsCount': 886, 'statusesCount': 3054, 'favouritesCount': 6405, 'listedCount': 17, 'mediaCount': 203, 'location': 'Bengaluru, India', 'protected': False, 'link': {'text': 'medium.com/@rggroups/', 'url': 'https://medium.com/@rggroups/', 'tcourl': 'https://t.co/3y2m4Qiklk', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1279287230175907840/wl1a_RDM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/120410501/1593840219', 'label': None}",2016-11-05 11:51:31+00:00,"My father said dont book tickets for #AyeDilHaiMushkil we shud boycott it. My mother replied, didnt we lit Chinese lights on diwali?","Bengaluru, India",False,600,2010-03-06 10:29:29+00:00
"{'username': 'joedevasia', 'id': 33768709, 'displayname': 'Joseph Devasia', 'rawDescription': 'Executive Recruiter !!! Finding the right talent for your organisation.', 'renderedDescription': 'Executive Recruiter !!! Finding the right talent for your organisation.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 4, 21, 2, 7, 15, tzinfo=datetime.timezone.utc), 'followersCount': 1014, 'friendsCount': 720, 'statusesCount': 1181, 'favouritesCount': 371, 'listedCount': 27, 'mediaCount': 44, 'location': 'Mumbai, India', 'protected': False, 'link': {'text': 'in.linkedin.com/in/josephdevas…', 'url': 'http://in.linkedin.com/in/josephdevasia', 'tcourl': 'https://t.co/sMfOas2nVv', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/764314195030441984/hIrqmwnU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/33768709/1402625194', 'label': None}",2016-11-05 02:03:35+00:00,"Riyaz Amlani, why not do a satire around, #tripletalaq #ISIS #fakemaulvis #burqa dare you to... keep going, boycott #GoregaonSocial","Mumbai, India",False,1014,2009-04-21 02:07:15+00:00
